Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Gap_Days,Gap_Flag,Return,SMA_20,SMA_50,SMA_200,RSI,Bollinger_Bands_Upper,Bollinger_Bands_Lower
RELIANCE.NS,2025-09-19,1414.9,1417.0,1403.6,1407.4,1407.4,13461373,1.0,False,-0.54,1386.4,1406.45,,55.07,1425.97,1346.82
RELIANCE.NS,2025-09-22,1403.9,1410.7,1388.0,1390.6,1390.6,7757970,3.0,False,-1.19,1385.46,1403.92,,48.11,1423.64,1347.29
RELIANCE.NS,2025-09-23,1391.0,1395.0,1376.8,1389.8,1389.8,14014702,1.0,False,-0.06,1384.32,1401.81,,47.8,1420.39,1348.26
RELIANCE.NS,2025-09-24,1385.3,1396.0,1380.4,1383.0,1383.0,5922759,1.0,False,-0.49,1384.23,1399.8,,45.14,1420.3,1348.16
RELIANCE.NS,2025-09-25,1381.3,1384.5,1369.0,1372.4,1372.4,11411143,1.0,False,-0.77,1383.56,1397.54,,41.28,1419.99,1347.12
RELIANCE.NS,2025-09-26,1372.0,1382.7,1366.0,1377.6,1377.6,9879109,1.0,False,0.38,1384.58,1395.38,,43.81,1418.99,1350.16
RELIANCE.NS,2025-09-29,1381.6,1389.0,1368.0,1372.8,1372.8,14231999,3.0,False,-0.35,1385.52,1393.3,,42.01,1417.33,1353.71
RELIANCE.NS,2025-09-30,1377.1,1377.1,1362.8,1364.0,1364.0,14604684,1.0,False,-0.64,1385.4,1391.06,,38.85,1417.54,1353.25
RELIANCE.NS,2025-10-01,1367.0,1378.6,1362.7,1368.7,1368.7,12045916,1.0,False,0.34,1385.2,1389.87,,41.39,1417.71,1352.69
RELIANCE.NS,2025-10-03,1363.2,1371.6,1356.9,1363.4,1363.4,12842347,2.0,False,-0.39,1385.41,1388.88,,39.4,1417.28,1353.53
RELIANCE.NS,2025-10-06,1360.0,1377.4,1359.0,1375.0,1375.0,12396580,3.0,False,0.85,1385.41,1387.89,,45.55,1417.28,1353.53
RELIANCE.NS,2025-10-07,1376.0,1395.9,1375.9,1384.8,1384.8,11244040,1.0,False,0.71,1385.72,1387.52,,50.16,1417.43,1354.01
RELIANCE.NS,2025-10-08,1384.8,1389.0,1364.5,1367.4,1367.4,8525081,1.0,False,-1.26,1385.28,1387.04,,43.18,1417.78,1352.78
RELIANCE.NS,2025-10-09,1374.0,1380.0,1369.1,1377.8,1377.8,8826633,1.0,False,0.76,1385.32,1386.84,,47.85,1417.78,1352.86
RELIANCE.NS,2025-10-10,1377.8,1388.0,1375.1,1381.7,1381.7,6373084,1.0,False,0.28,1385.24,1386.13,,49.53,1417.73,1352.75
RELIANCE.NS,2025-10-13,1376.9,1377.7,1367.8,1375.0,1375.0,7600682,3.0,False,-0.48,1384.24,1385.43,,46.75,1416.69,1351.79
RELIANCE.NS,2025-10-14,1380.0,1388.0,1370.1,1375.9,1375.9,9768174,1.0,False,0.07,1383.07,1385.15,,47.17,1414.92,1351.22
RELIANCE.NS,2025-10-15,1383.0,1384.0,1372.7,1374.3,1374.3,10882743,1.0,False,-0.12,1381.52,1384.76,,46.46,1411.79,1351.25
RELIANCE.NS,2025-10-16,1375.1,1400.5,1375.0,1398.3,1398.3,12315932,1.0,False,1.75,1380.74,1384.49,,57.0,1408.2,1353.29
RELIANCE.NS,2025-10-17,1401.0,1423.3,1399.1,1416.8,1416.8,19335561,1.0,False,1.32,1380.84,1385.0,,63.05,1408.77,1352.9
RELIANCE.NS,2025-10-20,1440.0,1473.8,1433.3,1466.8,1466.8,24721978,3.0,False,3.53,1383.8,1386.48,,73.77,1430.18,1337.43
RELIANCE.NS,2025-10-21,1468.0,1474.0,1460.0,1465.2,1465.2,2066169,1.0,False,-0.11,1387.54,1387.99,,73.04,1446.5,1328.57
RELIANCE.NS,2025-10-23,1475.0,1482.9,1444.6,1448.4,1448.4,18707090,2.0,False,-1.15,1390.46,1389.6,,65.69,1455.42,1325.51
RELIANCE.NS,2025-10-24,1450.0,1459.8,1441.0,1451.6,1451.6,9700837,1.0,False,0.22,1393.9,1390.91,,66.38,1464.22,1323.57
RELIANCE.NS,2025-10-27,1463.0,1485.0,1458.0,1484.1,1484.1,14113867,3.0,False,2.24,1399.48,1392.99,,72.48,1479.66,1319.3
RELIANCE.NS,2025-10-28,1484.1,1492.0,1477.6,1486.9,1486.9,17631577,1.0,False,0.19,1404.95,1395.07,,72.93,1493.33,1316.56
RELIANCE.NS,2025-10-29,1490.0,1508.3,1488.1,1504.2,1504.2,11884745,1.0,False,1.16,1411.52,1397.68,,75.61,1508.91,1314.12
RELIANCE.NS,2025-10-30,1500.0,1503.1,1484.0,1488.5,1488.5,9318663,1.0,False,-1.04,1417.74,1399.82,,68.93,1518.22,1317.26
RELIANCE.NS,2025-10-31,1490.4,1497.5,1482.3,1486.4,1486.4,8758053,1.0,False,-0.14,1423.62,1401.14,,68.07,1525.78,1321.47
RELIANCE.NS,2025-11-03,1486.0,1495.0,1479.3,1484.7,1484.7,8452085,3.0,False,-0.11,1429.69,1402.58,,67.33,1531.19,1328.19
RELIANCE.NS,2025-11-04,1483.9,1492.8,1470.1,1473.1,1473.1,10007806,1.0,False,-0.78,1434.59,1403.54,,62.37,1534.44,1334.75
RELIANCE.NS,2025-11-06,1484.0,1501.6,1476.2,1496.1,1496.1,16772678,2.0,False,1.56,1440.16,1405.28,,67.49,1540.72,1339.6
RELIANCE.NS,2025-11-07,1494.6,1498.4,1475.9,1478.0,1478.0,7821765,1.0,False,-1.21,1445.69,1406.59,,60.51,1541.46,1349.92
RELIANCE.NS,2025-11-10,1477.9,1501.0,1475.5,1489.3,1489.3,7068438,3.0,False,0.76,1451.26,1408.68,,63.08,1543.3,1359.23
RELIANCE.NS,2025-11-11,1497.0,1498.8,1480.2,1493.4,1493.4,7127506,1.0,False,0.28,1456.85,1410.83,,63.99,1544.56,1369.14
RELIANCE.NS,2025-11-12,1505.0,1524.7,1500.0,1511.5,1511.5,12384459,1.0,False,1.21,1463.68,1413.91,,67.78,1545.63,1381.72
RELIANCE.NS,2025-11-13,1515.0,1522.1,1506.8,1510.9,1510.9,7196443,1.0,False,-0.04,1470.42,1417.05,,67.53,1543.72,1397.13
RELIANCE.NS,2025-11-14,1505.5,1520.9,1505.5,1518.9,1518.9,7682823,1.0,False,0.53,1477.66,1420.1,,69.19,1538.49,1416.82
RELIANCE.NS,2025-11-17,1520.9,1523.7,1511.5,1518.3,1518.3,5871416,3.0,False,-0.04,1483.66,1423.01,,68.9,1534.37,1432.94
RELIANCE.NS,2025-11-18,1521.7,1527.8,1510.5,1519.4,1519.4,11045042,1.0,False,0.07,1488.78,1426.22,,69.15,1531.08,1446.49
RELIANCE.NS,2025-11-19,1517.4,1522.3,1512.0,1518.9,1518.9,5692366,1.0,False,-0.03,1491.39,1429.09,,68.88,1534.39,1448.39
RELIANCE.NS,2025-11-20,1530.0,1550.9,1526.7,1549.1,1549.1,18171724,1.0,False,1.99,1495.58,1432.51,,75.21,1543.88,1447.29
RELIANCE.NS,2025-11-21,1541.0,1557.8,1540.1,1546.6,1546.6,9615271,1.0,False,-0.16,1500.5,1435.91,,73.87,1548.55,1452.44
RELIANCE.NS,2025-11-24,1550.0,1550.0,1531.8,1535.9,1535.9,18433951,3.0,False,-0.69,1504.71,1439.09,,68.27,1549.38,1460.04
RELIANCE.NS,2025-11-25,1535.9,1559.6,1525.1,1539.7,1539.7,15033482,1.0,False,0.25,1507.49,1442.22,,69.16,1553.66,1461.32
RELIANCE.NS,2025-11-26,1542.3,1571.6,1540.5,1569.9,1569.9,14054299,1.0,False,1.96,1511.64,1445.72,,75.15,1564.46,1458.82
RELIANCE.NS,2025-11-27,1575.0,1575.5,1556.0,1563.4,1563.4,9794643,1.0,False,-0.41,1514.6,1449.0,,71.91,1572.09,1457.11
RELIANCE.NS,2025-11-28,1568.0,1581.3,1563.0,1567.5,1567.5,8959508,1.0,False,0.26,1518.55,1452.24,,72.71,1579.25,1457.85
RELIANCE.NS,2025-12-01,1575.0,1577.5,1563.6,1566.1,1566.1,8920233,3.0,False,-0.09,1522.54,1455.29,,71.96,1584.8,1460.27
RELIANCE.NS,2025-12-02,1561.1,1567.5,1542.0,1546.3,1546.3,11389150,1.0,False,-1.26,1525.62,1457.92,,62.16,1586.06,1465.17
RELIANCE.NS,2025-12-03,1545.2,1552.4,1533.0,1538.8,1538.8,6090883,1.0,False,-0.49,1528.9,1460.54,,58.89,1584.26,1473.54
RELIANCE.NS,2025-12-04,1536.0,1560.5,1517.6,1535.6,1535.6,11867930,1.0,False,-0.21,1530.88,1463.44,,57.5,1584.08,1477.67
RELIANCE.NS,2025-12-05,1530.4,1545.8,1520.6,1540.6,1540.6,10183266,1.0,False,0.33,1534.0,1466.46,,59.12,1581.14,1486.87
RELIANCE.NS,2025-12-08,1539.2,1551.0,1535.0,1543.0,1543.0,11301491,3.0,False,0.16,1536.69,1469.66,,59.92,1578.97,1494.41
RELIANCE.NS,2025-12-09,1540.3,1542.5,1520.1,1529.4,1529.4,11503971,1.0,False,-0.88,1538.49,1472.8,,53.58,1575.78,1501.2
RELIANCE.NS,2025-12-10,1534.0,1547.5,1531.4,1536.9,1536.9,7991629,1.0,False,0.49,1539.76,1475.99,,56.32,1574.84,1504.68
RELIANCE.NS,2025-12-11,1536.9,1550.0,1524.0,1545.0,1545.0,4706197,1.0,False,0.53,1541.46,1479.43,,59.13,1573.85,1509.08
RELIANCE.NS,2025-12-12,1550.8,1559.8,1546.1,1556.5,1556.5,5106655,1.0,False,0.74,1543.34,1483.28,,62.79,1574.56,1512.13
RELIANCE.NS,2025-12-15,1551.2,1558.6,1546.5,1556.2,1556.2,5774543,3.0,False,-0.02,1545.24,1487.03,,62.63,1574.6,1515.88
RELIANCE.NS,2025-12-16,1545.0,1551.7,1538.8,1542.3,1542.3,11731856,1.0,False,-0.89,1546.38,1490.61,,55.67,1573.17,1519.6
RELIANCE.NS,2025-12-17,1550.0,1550.0,1539.3,1544.4,1544.4,7116649,1.0,False,0.14,1547.66,1494.0,,56.45,1571.17,1524.15
RELIANCE.NS,2025-12-18,1535.2,1551.5,1535.2,1544.4,1544.4,6580829,1.0,False,0.0,1547.42,1497.19,,56.45,1570.97,1523.88
RELIANCE.NS,2025-12-19,1554.4,1574.2,1551.0,1565.1,1565.1,13937275,1.0,False,1.34,1548.35,1501.14,,63.81,1573.17,1523.53
RELIANCE.NS,2025-12-22,1573.5,1577.5,1565.3,1575.4,1575.4,10184852,3.0,False,0.66,1550.32,1505.09,,66.81,1577.18,1523.47
RELIANCE.NS,2025-12-23,1580.9,1580.9,1568.1,1570.7,1570.7,7506564,1.0,False,-0.3,1551.88,1508.87,,64.19,1579.71,1524.04
RELIANCE.NS,2025-12-24,1572.7,1575.7,1553.6,1558.2,1558.2,8815745,1.0,False,-0.8,1551.29,1512.54,,57.72,1578.0,1524.58
